# of Men,# of Women,Completeness in Men's Pref.,Completeness in Women's Pref.,Ties in Men's Pref.,Ties in Women's Pref.,Exec. Time of Sex-equal Opt.,Exec. Time of Egalitarian Opt., Exec. Time of Minimum Regret Opt.,Exec. Time of Maximum Cardinality Opt.,Exec. Time without Opt.
20,20,25 %,25 %,0 %,0 %,0.000 sec,0.020 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,0 %,10 %,0.020 sec,0.050 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,0 %,20 %,0.010 sec,0.030 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,10 %,10 %,0.000 sec,0.020 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,10 %,20 %,0.010 sec,0.040 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,20 %,20 %,0.010 sec,0.040 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,50 %,0 %,0 %,0.020 sec,0.100 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,50 %,0 %,10 %,0.040 sec,0.180 sec,0.000 sec,0.010 sec,0.000 sec
20,20,25 %,50 %,0 %,20 %,0.020 sec,0.120 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,50 %,10 %,10 %,0.030 sec,0.100 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,50 %,10 %,20 %,0.020 sec,0.120 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,50 %,20 %,20 %,0.080 sec,0.220 sec,0.010 sec,0.000 sec,0.000 sec
20,20,25 %,100 %,0 %,0 %,0.290 sec,0.850 sec,0.010 sec,0.020 sec,0.000 sec
20,20,25 %,100 %,0 %,10 %,0.520 sec,1.020 sec,0.010 sec,0.020 sec,0.010 sec
20,20,25 %,100 %,0 %,20 %,0.230 sec,0.800 sec,0.010 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,10 %,10 %,0.120 sec,0.500 sec,0.010 sec,0.020 sec,0.010 sec
20,20,25 %,100 %,10 %,20 %,0.270 sec,0.800 sec,0.010 sec,0.010 sec,0.010 sec
20,20,25 %,100 %,20 %,20 %,0.680 sec,1.490 sec,0.010 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,0 %,0 %,0.210 sec,1.000 sec,0.000 sec,0.010 sec,0.010 sec
20,20,50 %,50 %,0 %,10 %,0.480 sec,1.280 sec,0.020 sec,0.010 sec,0.020 sec
20,20,50 %,50 %,0 %,20 %,0.190 sec,0.740 sec,0.010 sec,0.010 sec,0.010 sec
